bytes,final_url,kind,label,local_path,mime,original_url,referer,sha256,source_id,source_type
122409,https://fan.books.rakuten.co.jp/images/decoration/default-images/tag.png,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00031__tag.png,image/png,https://fan.books.rakuten.co.jp/images/decoration/default-images/tag.png,https://fan.books.rakuten.co.jp/articles/3866,639fd3fd87ebd44fb00cc442fec5ce1cb8a67b056061912227d363e22cd98e8b,sukisugite_metsu_00031,html_media
2500,https://books.r10s.jp/fan/images/oshiraku-images/showerofheart_main_973beca77a.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00035__showerofheart_main_973beca77a.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/showerofheart_main_973beca77a.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,1afe345aca50a5f5a0b45b50cbca38d2c636cbcc03f3e3d251d4f916b883bc6e,sukisugite_metsu_00035,html_media
2589,https://books.r10s.jp/fan/images/oshiraku-images/tetuwandassyu_main_d63e4059a4.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00039__tetuwandassyu_main_d63e4059a4.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/tetuwandassyu_main_d63e4059a4.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,93d856655aa2bc2222e09c16e1d1786d13052b4f4c753477ac352d1052153426,sukisugite_metsu_00039,html_media
2619,https://books.r10s.jp/fan/images/oshiraku-images/300yennoshinigami_main_5502e50405.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00040__300yennoshinigami_main_5502e50405.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/300yennoshinigami_main_5502e50405.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,7e03b260cd4ba551ee6ae7e5575e9dac702f3d5e7a45e5a859be818e9892cdca,sukisugite_metsu_00040,html_media
2857,https://books.r10s.jp/fan/images/oshiraku-images/tamotsun_main_0d9b3778d5.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00036__tamotsun_main_0d9b3778d5.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/tamotsun_main_0d9b3778d5.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,5dfd804868ca1f18b0ea40ae58ff488afeefd6216bf73d6b1e05a16825855633,sukisugite_metsu_00036,html_media
9800,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=640&q=75,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00042__image.png,image/png,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=640&q=75,https://fan.books.rakuten.co.jp/articles/3866,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a,sukisugite_metsu_00042,srcset
3106,https://books.r10s.jp/fan/images/oshiraku-images/DSC_9022_3cc4e0d1a6.JPG?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00027__DSC_9022_3cc4e0d1a6.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/DSC_9022_3cc4e0d1a6.JPG?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,3f67350b08bfcfc701ffc28312a738940ee58756e82e92ad931dd32eb0b63b90,sukisugite_metsu_00027,html_media
3559,https://books.r10s.jp/fan/images/oshiraku-images/kaeremonday_main_0d93cfaa64.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00037__kaeremonday_main_0d93cfaa64.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/kaeremonday_main_0d93cfaa64.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,dd1c6e7198ac51c106b938d882dd986ef8dfe4356ec8b465cb9838a5be8ab064,sukisugite_metsu_00037,html_media
2953,https://books.r10s.jp/fan/images/oshiraku-images/vivant_main_02f0d5cb68.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00033__vivant_main_02f0d5cb68.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/vivant_main_02f0d5cb68.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,061a88a27bc83f12df7e8eaf08f5445d88e79d643e9444ec38b96316ccc632a1,sukisugite_metsu_00033,html_media
2937,https://books.r10s.jp/fan/images/oshiraku-images/glengarryglenross_main_c5965fc3f2.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00038__glengarryglenross_main_c5965fc3f2.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/glengarryglenross_main_c5965fc3f2.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,2fd3d5e5e4d901e536c1e84f322ea34310e8b224bd18a483bbfaa15ffb98cf48,sukisugite_metsu_00038,html_media
95877,https://books.r10s.jp/fan/images/oshiraku-images/m_lk_sukisugitemetsu_mvthumbnail_df0665074a.png?fitin=300:225,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00008__m_lk_sukisugitemetsu_mvthumbnail_df0665074a.png,image/png,https://books.r10s.jp/fan/images/oshiraku-images/m_lk_sukisugitemetsu_mvthumbnail_df0665074a.png?fitin=300:225,https://fan.books.rakuten.co.jp/articles/3866,d7ab68fdfaebe6d00c6a40bf9a33304dca5b88198d1d5bf71f31aace39111ba1,sukisugite_metsu_00008,html_media
112764,https://books.r10s.jp/fan/images/oshiraku-images/oshiraku_M_LK_M_LK_aonooto_main_a1745ebe7a.jpg?fitaround=720:540,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00006__oshiraku_M_LK_M_LK_aonooto_main_a1745ebe7a.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/oshiraku_M_LK_M_LK_aonooto_main_a1745ebe7a.jpg?fitaround=720:540,https://fan.books.rakuten.co.jp/articles/3866,e8a260f413da39d3732a74606fb26a711c0530400b3c494c218df94925d0fc92,sukisugite_metsu_00006,html_media
